seq_algoritmo,seq_total,seq_outros,2_algoritmo,2_total,2_outros,3_algoritmo,3_total,3_outros,4_algoritmo,4_total,4_outros,5_algoritmo,5_total,5_outros
0.01089023,0.02012711,0.00923688,0.00684884,0.01370689,0.00685805,0.00850959,0.01718424,0.00867465,0.00664554,0.01431916,0.00767362,0.00702778,0.01352720,0.00649942
0.01092123,0.01764489,0.00672366,0.00616618,0.01333946,0.00717328,0.01005540,0.01664393,0.00658853,0.00610298,0.01289200,0.00678902,0.01231129,0.01899790,0.00668661
0.01125757,0.02689716,0.01563959,0.00750616,0.01525119,0.00774503,0.00652383,0.01343205,0.00690822,0.00969394,0.01713184,0.00743790,0.00739687,0.01528879,0.00789192
0.00979631,0.01617022,0.00637391,0.00656104,0.01372498,0.00716394,0.00628901,0.01484267,0.00855366,0.00727206,0.01388977,0.00661771,0.00614836,0.01266447,0.00651611
0.00988672,0.01611374,0.00622702,0.00581322,0.01346648,0.00765326,0.00676533,0.01393965,0.00717432,0.00726125,0.01365075,0.00638950,0.00647280,0.01314722,0.00667442
0.01065348,0.01827401,0.00762053,0.00909414,0.01697892,0.00788478,0.00682046,0.01391594,0.00709548,0.00832534,0.01589609,0.00757075,0.00659314,0.01349869,0.00690555
0.01355487,0.02046162,0.00690675,0.00736254,0.01599094,0.00862840,0.00735133,0.01478085,0.00742952,0.00644328,0.01319142,0.00674814,0.00649953,0.01414453,0.00764500
0.00980435,0.01794174,0.00813739,0.00777664,0.01409989,0.00632325,0.00713860,0.01381163,0.00667303,0.00503231,0.01225407,0.00722176,0.00632219,0.01337832,0.00705613
0.00977947,0.01637358,0.00659411,0.00873219,0.01530302,0.00657083,0.00759235,0.01631410,0.00872175,0.00515415,0.01196842,0.00681427,0.00595984,0.01345871,0.00749887
0.00986671,0.01619132,0.00632461,0.00614892,0.01393511,0.00778619,0.00628023,0.01268609,0.00640586,0.00472137,0.01145649,0.00673512,0.00858604,0.01762219,0.00903615
0.00950474,0.01662283,0.00711809,0.00652219,0.01429823,0.00777604,0.00606222,0.01261764,0.00655542,0.00529967,0.01235914,0.00705947,0.00960265,0.01642019,0.00681754
0.00987417,0.01638912,0.00651495,0.00618387,0.01353483,0.00735096,0.00825741,0.01540099,0.00714358,0.00480457,0.01190089,0.00709632,0.00665607,0.01356614,0.00691007
0.01138794,0.01817109,0.00678315,0.00689035,0.01416513,0.00727478,0.00623572,0.01320820,0.00697248,0.00749839,0.01493797,0.00743958,0.00621513,0.01330276,0.00708763
0.01021030,0.01676239,0.00655209,0.00653199,0.01362545,0.00709346,0.00644310,0.01396679,0.00752369,0.00754995,0.01539615,0.00784620,0.00612683,0.01345989,0.00733306
0.01047544,0.01823088,0.00775544,0.00595401,0.01332505,0.00737104,0.00665423,0.01368287,0.00702864,0.00907147,0.01566847,0.00659700,0.00631649,0.01259863,0.00628214
0.01000567,0.01645273,0.00644706,0.00962014,0.01712535,0.00750521,0.00681383,0.01467047,0.00785664,0.00514391,0.01198993,0.00684602,0.00598133,0.01285373,0.00687240
0.01055602,0.01692696,0.00637094,0.00873867,0.01629147,0.00755280,0.00643569,0.01385991,0.00742422,0.00531055,0.01250734,0.00719679,0.00746273,0.01466639,0.00720366
0.00966650,0.01601753,0.00635103,0.00673461,0.01476515,0.00803054,0.00673933,0.01423138,0.00749205,0.00524457,0.01147810,0.00623353,0.00719889,0.01511987,0.00792098
0.00954874,0.01589878,0.00635004,0.00639527,0.01315003,0.00675476,0.00678800,0.01604735,0.00925935,0.00505275,0.01236160,0.00730885,0.00651007,0.01295862,0.00644855
0.00945822,0.01617360,0.00671538,0.00712623,0.01464354,0.00751731,0.00603241,0.01251750,0.00648509,0.00480335,0.01180936,0.00700601,0.00755071,0.01420441,0.00665370
0.01148791,0.02046802,0.00898011,0.00575671,0.01251249,0.00675578,0.00665078,0.01411438,0.00746360,0.00503687,0.01163311,0.00659624,0.00973640,0.01728691,0.00755051
0.01108171,0.01779058,0.00670887,0.00747294,0.01550055,0.00802761,0.00741033,0.01533079,0.00792046,0.00486183,0.01157798,0.00671615,0.00640272,0.01342157,0.00701885
0.01058183,0.01723855,0.00665672,0.00705591,0.01384704,0.00679113,0.00673993,0.01414215,0.00740222,0.00937951,0.01652832,0.00714881,0.00659899,0.01361542,0.00701643
0.01028215,0.01742373,0.00714158,0.00749687,0.01560527,0.00810840,0.00782361,0.01533510,0.00751149,0.00725524,0.01406891,0.00681367,0.00669768,0.01366828,0.00697060
0.00995168,0.01660762,0.00665594,0.00764081,0.01674599,0.00910518,0.00653495,0.01330239,0.00676744,0.00581233,0.01327455,0.00746222,0.00615228,0.01384070,0.00768842
0.01190798,0.01889908,0.00699110,0.00919479,0.01638492,0.00719013,0.00641002,0.01359116,0.00718114,0.00524243,0.01194448,0.00670205,0.00657095,0.01364773,0.00707678
0.00970989,0.01634945,0.00663956,0.00563205,0.01332159,0.00768954,0.00681781,0.01388485,0.00706704,0.00576427,0.01235518,0.00659091,0.00650377,0.01413123,0.00762746
0.01079738,0.01839686,0.00759948,0.00610357,0.01333995,0.00723638,0.00894063,0.01780499,0.00886436,0.00479989,0.01128058,0.00648069,0.00841622,0.01578548,0.00736926
0.01007894,0.01777450,0.00769556,0.00685327,0.01391795,0.00706468,0.00915374,0.01627050,0.00711676,0.00505684,0.01128023,0.00622339,0.00777948,0.01479347,0.00701399
0.00990667,0.01627490,0.00636823,0.00705224,0.01491876,0.00786652,0.00694019,0.01414631,0.00720612,0.00577999,0.01250592,0.00672593,0.00645417,0.01349222,0.00703805
0.00986857,0.01617038,0.00630181,0.00695474,0.01489063,0.00793589,0.00628043,0.01381249,0.00753206,0.00544038,0.01229315,0.00685277,0.00667967,0.01384833,0.00716866
0.00985676,0.01645193,0.00659517,0.00590649,0.01329749,0.00739100,0.00661046,0.01442585,0.00781539,0.00643090,0.01371828,0.00728738,0.00678794,0.01440276,0.00761482
0.01117449,0.01793701,0.00676252,0.00889221,0.01611826,0.00722605,0.00635440,0.01321847,0.00686407,0.00799367,0.01523958,0.00724591,0.00581288,0.01263969,0.00682681
0.00961354,0.01598992,0.00637638,0.00720855,0.01424508,0.00703653,0.00670011,0.01361589,0.00691578,0.00769877,0.01449546,0.00679669,0.00628537,0.01292452,0.00663915
0.01049738,0.01807141,0.00757403,0.00998515,0.01684561,0.00686046,0.00648948,0.01413837,0.00764889,0.00500567,0.01256249,0.00755682,0.00672374,0.01429970,0.00757596
0.01006288,0.01784164,0.00777876,0.00638655,0.01336795,0.00698140,0.00912778,0.01757663,0.00844885,0.00498912,0.01135069,0.00636157,0.00701140,0.01577004,0.00875864
0.00968488,0.01630062,0.00661574,0.00638777,0.01302474,0.00663697,0.00625669,0.01297068,0.00671399,0.00511234,0.01173410,0.00662176,0.00893688,0.01545297,0.00651609
0.01072981,0.01751117,0.00678136,0.00669762,0.01370635,0.00700873,0.00598740,0.01359779,0.00761039,0.00497600,0.01174590,0.00676990,0.00642735,0.01390353,0.00747618
0.00972974,0.01593814,0.00620840,0.00748274,0.01458999,0.00710725,0.00647538,0.01335707,0.00688169,0.00519083,0.01184429,0.00665346,0.00720316,0.01514892,0.00794576
0.00971252,0.01590126,0.00618874,0.00629327,0.01402688,0.00773361,0.00648387,0.01403005,0.00754618,0.00518487,0.01136650,0.00618163,0.00670725,0.01401085,0.00730360
0.00973200,0.01593877,0.00620677,0.00712151,0.01460354,0.00748203,0.00715475,0.01566779,0.00851304,0.00534766,0.01176125,0.00641359,0.00629220,0.01382167,0.00752947
0.01104518,0.01795493,0.00690975,0.00794533,0.01697373,0.00902840,0.00634487,0.01344354,0.00709867,0.00600840,0.01321950,0.00721110,0.00633851,0.01322058,0.00688207
0.01066687,0.01787080,0.00720393,0.00713469,0.01396380,0.00682911,0.00731277,0.01471020,0.00739743,0.00781963,0.01654211,0.00872248,0.00627764,0.01384949,0.00757185
0.00961387,0.01602459,0.00641072,0.00650034,0.01432157,0.00782123,0.00641026,0.01376056,0.00735030,0.00819555,0.01543309,0.00723754,0.00864137,0.01562592,0.00698455
0.00958340,0.01585167,0.00626827,0.00621592,0.01392840,0.00771248,0.00681660,0.01431946,0.00750286,0.00535072,0.01209746,0.00674674,0.00657396,0.01320108,0.00662712
0.00948110,0.01577681,0.00629571,0.00658597,0.01469646,0.00811049,0.00837431,0.01477724,0.00640293,0.00464491,0.01093982,0.00629491,0.00712840,0.01429700,0.00716860
0.00953997,0.01578461,0.00624464,0.00584246,0.01276945,0.00692699,0.00637454,0.01356032,0.00718578,0.00500503,0.01114654,0.00614151,0.00673143,0.01319332,0.00646189
0.00963630,0.01593606,0.00629976,0.00714991,0.01406285,0.00691294,0.00627963,0.01284374,0.00656411,0.00474958,0.01083160,0.00608202,0.00669501,0.01393322,0.00723821
0.01074463,0.01857510,0.00783047,0.00616520,0.01405372,0.00788852,0.00689472,0.01461837,0.00772365,0.00492422,0.01135122,0.00642700,0.00645189,0.01333693,0.00688504
0.01071201,0.01773218,0.00702017,0.00799346,0.01613755,0.00814409,0.00697169,0.01443623,0.00746454,0.00494212,0.01145961,0.00651749,0.00628742,0.01304345,0.00675603
